Replay_diffusivity_Awake,Replay_diffusivity_Sleep
0.8634157258357806,0.6154814659010371
0.7743714994280109,0.5830076774591039
0.703190155547307,0.56675445375458
0.816454623639593,0.6115100996443567
0.7801215618864923,0.793461035489159
0.8068985100019991,0.6139155662052427
0.8356334350668926,0.6514093440449905
0.8401358896897597,0.5169444740269078
0.4761376337356502,0.5247911234401984
0.7593802387846538,0.9552927698914253
0.6430410602121067,0.689869238627081
0.7507697031382595,0.5715615343017528
0.7564079770503935,0.5556634683630982
0.7483547191983569,0.5423960685239602
0.6612840962572625,0.5479166696265944
0.5767033350338825,0.5844123397667935
0.7103678883331875,0.5297142334651529
0.6168898795589548,0.5334318425550828
0.5599738035445558,0.5181272288685289
0.7945773826511292,0.5223177094621501
0.6996257740759871,0.5403144955287639
0.5873243257040873,0.5128535059791528
0.7344390614179136,0.6530603452438525
0.7266169662154337,0.8563925571831918
0.90307592659865,0.8036826700199358
1.0835432762008272,0.6181167810220776
0.930981385870235,0.6270904723351731
0.9545326679813687,0.9288563856996845
0.9534640714962144,0.7538682133557454
0.6020488081841617,0.7608231106910586
0.9140098219499685,0.6116691395437774
0.5193899164661074,0.6210108613075714
0.9134881800562139,0.7484823938261854
0.8651006757222828,0.8535984476510531
0.8111276564922439,0.8747323752693383
0.85956814299984,0.8093045338621068
0.7811323566458006,0.8656433307145469
0.9108812070419021,0.8368490560964559
0.7519749961384977,0.8122888064493299
0.7923041689967698,0.7183286381202366
0.5037277784720099,0.55975926561859
0.799584869606413,0.7761328376650561
0.8684921811991927,0.7013176154908551
0.7298128997870507,0.6859154774533563
0.775094317694175,0.7389823489284507
0.5593734331107673,0.6285286093581668
0.7714854644989793,0.8549271562155064
0.810345178750713,0.7708856716646314
0.6617040607601735,0.702687311750464
0.7888696669564138,0.6830373249120503
0.816211183831191,0.8518762593823253
0.7752660889130437,0.7921494928789303
0.8457179719993035,0.8168424305802043
