Adaptation_strength,Mean_displacement_a.u.,Std_displacement_a.u.
0.0,3.282337533790275,0.4703774006924544
0.010964912362396717,3.9053740330644615,0.783381214274871
0.021929824724793434,4.402314706590692,0.8511349436126449
0.032894738018512726,5.4194454408063475,0.6398520196148227
0.04385964944958687,6.533956094471843,0.7199457070480986
0.05482456088066101,8.572765679624077,0.9985291365935722
0.06578947603702545,10.966350043475382,1.1284142785420488
0.07675439119338989,11.918512655790199,0.9368023395839482
0.08771929889917374,13.347295096732983,0.5148774019692031
0.09868421405553818,14.668060008404984,0.5606775377201623
0.10964912176132202,15.26568188983629,0.9541372741120537
0.12061404436826706,16.36725953477377,0.45128941002000794
0.1315789520740509,16.81624520728617,0.8197013980317148
0.14254386723041534,17.433771534927537,0.28675389523306233
0.15350878238677979,18.19403497370546,0.6097495333974157
0.16447369754314423,18.025705599094813,0.8442366778924457
0.17543859779834747,18.629184443630397,0.4237681779828254
0.18640351295471191,18.173601354794897,0.5432942943748159
0.19736842811107635,19.018332316287736,0.8000814393329471
0.2083333283662796,19.116731724951293,0.503771259867156
