x,y
0.0,0.0
0.0020833332,0.0
0.0041666664,0.0
0.0062499996,0.0
0.008333333,0.0
0.010416666,0.0
0.012499999,0.0
0.014583332,0.0
0.016666666,0.0005929295439273119
0.018749999,0.0011823492823168635
0.020833332,0.0716903880238533
0.022916665,0.8992226719856262
0.024999999,1.3023707866668701
0.027083332,1.6258487701416016
0.029166665,1.9080549478530884
0.031249996,2.163529634475708
0.03333333,2.399644136428833
0.035416666,2.620764970779419
0.037499998,2.829741954803467
0.039583333,3.0285677909851074
0.041666664,3.218702554702759
0.04375,3.4012575149536133
0.04583333,3.5771145820617676
0.047916666,3.7469730377197266
0.049999997,3.911406993865967
0.052083332,4.070908069610596
