Animal_ID,Sweep_amplitude_cm,Replay_diffusivity
bon,42.577232236922406,0.7173023194974343
bon,40.010123506909466,0.7012106494983803
bon,34.54363608832208,0.7077958330952064
bon,37.16017375404732,0.6621140501631673
bon,35.38842592952371,0.6290771904788993
bon,34.71736145157428,0.6938424941437346
bon,33.956045397705374,0.6599731499538245
bon,31.965413866889094,0.6467158648198307
fra,41.22159012100327,0.712511037396287
fra,42.13631823561522,0.7074901834092665
fra,37.409816205958855,0.7120820486025078
fra,35.560017476463365,0.6921762973935283
fra,32.65608354623617,0.6756982057324765
fra,31.81761534669576,0.7018109786824335
fra,31.177843019264518,0.6548181701659336
fra,40.7039445433873,0.6794225724369687
fra,35.83177730084077,0.7225650160010213
gov,56.1221872200284,0.7894503479219496
gov,51.431428033536996,0.8065681924696668
gov,50.4635749966997,0.751356303095425
gov,51.39038448860964,0.7580754824073517
gov,58.028489823717905,0.8416030216399805
gov,54.643631243207665,0.8061912984160124
gov,50.39658558945407,0.7826762797613886
gov,56.22550012278193,0.8982363952982491
dud,59.188737053618055,0.7923041689967698
dud,61.43985447426438,0.8101476623097343
con,47.314432821343075,0.8530991667848544
con,46.97812629631564,1.007262331035531
con,44.16428348135696,0.9539983697387915
con,44.82046857196033,0.7110919262508831
con,42.09976856958941,0.7746253230713087
con,46.46746014829419,0.8165381150160645
dav,53.86552676562918,0.8300660060980558
dav,47.59723653928361,0.8276045141003842
dav,51.60202226537624,0.8234118416750128
dav,45.875096577510796,0.8146628532754002
dav,45.06975000725284,0.817133103414584
Cor,57.65460591822294,0.8220564092722771
Cor,54.51380510769434,0.7387808274876589
Cor,51.643077249690975,0.7807219090406841
Cor,62.74906905413805,0.7888890004220632
Cor,44.92077005692974,0.8068985100019991
Cor,52.93934678435581,0.7303583944068209
egy,53.644723822067306,0.7992966501975521
egy,57.558849846356296,0.8304468313626512
egy,58.137888597408676,0.8135993109862611
egy,52.28714070556213,0.8305673046362815
egy,59.08009802711108,0.8050610318391618
egy,50.91016579663015,0.7864026765275407
egy,59.155788021751675,0.7915213238478606
cha,58.95995483569442,0.654880133660281
cha,59.47055625500553,0.6202014419062231
